r,E
3.0000,  -5504.57835
3.1000,  -5504.58200
3.2000,  -5504.58455
3.3000,  -5504.58631
3.4000,  -5504.58750
3.5000,  -5504.58829
3.6000,  -5504.58879
3.7000,  -5504.58909
3.8000,  -5504.58925
3.9000,  -5504.58932
4.0000,  -5504.58932
4.1000,  -5504.58929
4.2000,  -5504.58922
4.3000,  -5504.58915
4.4000,  -5504.58907
4.5000,  -5504.58899
4.6000,  -5504.58892
4.7000,  -5504.58885
4.8000,  -5504.58878
4.9000,  -5504.58873
5.0000,  -5504.58867
5.1000,  -5504.58863
5.2000,  -5504.58859
5.3000,  -5504.58855
5.4000,  -5504.58852
5.5000,  -5504.58849
5.6000,  -5504.58846
5.7000,  -5504.58844
5.8000,  -5504.58842
5.9000,  -5504.58840
6.0000,  -5504.58838
6.1000,  -5504.58837
6.2000,  -5504.58835
6.3000,  -5504.58834
6.4000,  -5504.58833
6.5000,  -5504.58832
6.6000,  -5504.58831
6.7000,  -5504.58830
6.8000,  -5504.58830
6.9000,  -5504.58829
7.0000,  -5504.58828
7.1000,  -5504.58828
7.2000,  -5504.58827
7.3000,  -5504.58827
7.4000,  -5504.58827
7.5000,  -5504.58826
7.6000,  -5504.58826
7.7000,  -5504.58826
7.8000,  -5504.58825
7.9000,  -5504.58825
8.0000,  -5504.58825
