r,E
3.0000, -5504.57835
3.0500, -5504.58033
3.1000, -5504.58200
3.1500, -5504.58339
3.2000, -5504.58455
3.2500, -5504.58551
3.3000, -5504.58631
3.3500, -5504.58696
3.4000, -5504.58750
3.4500, -5504.58794
3.5000, -5504.58829
3.5500, -5504.58857
3.6000, -5504.58879
3.6500, -5504.58896
3.7000, -5504.58909
3.7500, -5504.58919
3.8000, -5504.58925
3.8500, -5504.58929
3.9000, -5504.58932
3.9500, -5504.58933
4.0000, -5504.58932
4.0500, -5504.58931
4.1000, -5504.58929
4.1500, -5504.58926
4.2000, -5504.58922
4.2500, -5504.58919
4.3000, -5504.58915
4.3500, -5504.58911
4.4000, -5504.58907
4.4500, -5504.58903
4.5000, -5504.58899
4.5500, -5504.58896
4.6000, -5504.58892
4.6500, -5504.58888
4.7000, -5504.58885
4.7500, -5504.58882
4.8000, -5504.58878
4.8500, -5504.58875
4.9000, -5504.58873
4.9500, -5504.58870
5.0000, -5504.58867
5.0500, -5504.58865
5.1000, -5504.58863
5.1500, -5504.58861
5.2000, -5504.58859
5.2500, -5504.58857
5.3000, -5504.58855
5.3500, -5504.58853
5.4000, -5504.58852
5.4500, -5504.58850
5.5000, -5504.58849
5.5500, -5504.58847
5.6000, -5504.58846
5.6500, -5504.58845
5.7000, -5504.58844
5.7500, -5504.58843
5.8000, -5504.58842
5.8500, -5504.58841
5.9000, -5504.58840
5.9500, -5504.58839
6.0000, -5504.58838
6.0500, -5504.58837
6.1000, -5504.58837
6.1500, -5504.58836
6.2000, -5504.58835
6.2500, -5504.58835
6.3000, -5504.58834
6.3500, -5504.58834
6.4000, -5504.58833
6.4500, -5504.58833
6.5000, -5504.58832
6.5500, -5504.58832
6.6000, -5504.58831
6.6500, -5504.58831
6.7000, -5504.58830
6.7500, -5504.58830
6.8000, -5504.58830
6.8500, -5504.58829
6.9000, -5504.58829
6.9500, -5504.58829
7.0000, -5504.58828
